Data Year,Income Year,X,CPI99,=,1999 dollars
1962,1961 dollars,X,5.572,=,1999 dollars
1963,1962 dollars,X,5.517,=,1999 dollars
1964,1963 dollars,X,5.444,=,1999 dollars
1965,1964 dollars,X,5.374,=,1999 dollars
1966,1965 dollars,X,5.289,=,1999 dollars
1967,1966 dollars,X,5.142,=,1999 dollars
1968,1967 dollars,X,4.988,=,1999 dollars
1969,1968 dollars,X,4.787,=,1999 dollars
1970,1969 dollars,X,4.54,=,1999 dollars
1971,1970 dollars,X,4.294,=,1999 dollars
1972,1971 dollars,X,4.114,=,1999 dollars
1973,1972 dollars,X,3.986,=,1999 dollars
1974,1973 dollars,X,3.752,=,1999 dollars
1975,1974 dollars,X,3.379,=,1999 dollars
1976,1975 dollars,X,3.097,=,1999 dollars
1977,1976 dollars,X,2.928,=,1999 dollars
1978,1977 dollars,X,2.749,=,1999 dollars
1979,1978 dollars,X,2.555,=,1999 dollars
1980,1979 dollars,X,2.295,=,1999 dollars
1981,1980 dollars,X,2.022,=,1999 dollars
1982,1981 dollars,X,1.833,=,1999 dollars
1983,1982 dollars,X,1.726,=,1999 dollars
1984,1983 dollars,X,1.673,=,1999 dollars
1985,1984 dollars,X,1.603,=,1999 dollars
1986,1985 dollars,X,1.548,=,1999 dollars
1987,1986 dollars,X,1.52,=,1999 dollars
1988,1987 dollars,X,1.467,=,1999 dollars
1989,1988 dollars,X,1.408,=,1999 dollars
1990,1989 dollars,X,1.344,=,1999 dollars
1991,1990 dollars,X,1.275,=,1999 dollars
1992,1991 dollars,X,1.223,=,1999 dollars
1993,1992 dollars,X,1.187,=,1999 dollars
1994,1993 dollars,X,1.153,=,1999 dollars
1995,1994 dollars,X,1.124,=,1999 dollars
1996,1995 dollars,X,1.093,=,1999 dollars
1997,1996 dollars,X,1.062,=,1999 dollars
1998,1997 dollars,X,1.038,=,1999 dollars
1999,1998 dollars,X,1.022,=,1999 dollars
2000,1999 dollars,X,1,=,1999 dollars
2001,2000 dollars,X,0.967,=,1999 dollars
2002,2001 dollars,X,0.941,=,1999 dollars
2003,2002 dollars,X,0.926,=,1999 dollars
2004,2003 dollars,X,0.905,=,1999 dollars
2005,2004 dollars,X,0.882,=,1999 dollars
2006,2005 dollars,X,0.853,=,1999 dollars
2007,2006 dollars,X,0.826,=,1999 dollars
2008,2007 dollars,X,0.804,=,1999 dollars
2009,2008 dollars,X,0.774,=,1999 dollars
2010,2009 dollars,X,0.777,=,1999 dollars
2011,2010 dollars,X,0.764,=,1999 dollars
2012,2011 dollars,X,0.741,=,1999 dollars
2013,2012 dollars,X,0.726,=,1999 dollars
2014,2013 dollars,X,0.715,=,1999 dollars
2015,2014 dollars,X,0.704,=,1999 dollars
2016,2015 dollars,X,0.703,=,1999 dollars
2017,2016 dollars,X,0.694,=,1999 dollars
2018,2017 dollars,X,0.679,=,1999 dollars
2019,2018 dollars,X,0.663,=,1999 dollars
2020,2019 dollars,X,0.652,=,1999 dollars
2021,2020 dollars,X,0.644,=,1999 dollars
2022,2021 dollars,X,0.615,=,1999 dollars
2023,2022 dollars,X,0.569,=,1999 dollars
